user_id,browsing_time,pages_viewed,cart_additions,purchase_count,total_spending,average_order_value,discount_usage_count,discount_ratio,return_count,days_since_last_purchase,session_count,user_type
U00522,94.35,36,5,1,107.5,104.61,0.0,0.223,0.0,15,4,normal
U00738,128.12,71,14,14,2824.23,183.38,,0.147,0.0,21,9,high_value
U00741,87.87,53,9,9,764.64,116.41,0.0,0.191,0.0,4,9,high_value
U00661,48.02,45,6,3,531.55,154.19,0.0,0.01,0.0,36,3,normal
U00412,58.87,35,3,2,264.75,127.0,0.0,0.284,0.0,2,10,normal
U00679,43.95,37,4,4,603.03,146.02,1.0,0.224,0.0,23,7,normal
U00627,54.4,36,3,2,262.01,126.28,1.0,0.033,,34,9,normal
U00514,56.67,40,5,3,522.16,174.8,2.0,0.049,0.0,43,4,normal
U00860,115.33,127,19,0,0.0,76.08,0.0,0.321,0.0,73,12,low_conversion
U00137,28.05,43,6,4,334.54,81.57,1.0,0.242,0.0,16,11,normal
U00812,185.75,125,14,0,0.0,71.36,1.0,0.205,0.0,28,14,low_conversion
U00077,37.3,36,2,1,85.33,106.4,0.0,0.144,0.0,5,6,normal
U00637,51.61,43,7,2,287.42,142.94,0.0,0.245,0.0,32,6,normal
U00974,213.98,264,11,0,0.0,135.48,,0.062,1.0,73,31,high_activity_anomaly
U00939,80.02,73,9,4,480.4,104.61,7.0,0.707,0.0,15,9,promotion_abuse_like
U00900,36.12,62,9,4,430.71,103.54,,0.675,4.0,44,6,promotion_abuse_like
U00281,41.19,31,3,3,571.53,173.25,1.0,0.241,0.0,46,2,normal
U00884,76.23,72,8,4,459.39,102.78,11.0,0.591,0.0,10,4,promotion_abuse_like
U00762,65.68,84,9,9,3282.87,360.77,3.0,0.07,0.0,13,10,high_value
U00320,65.17,33,5,3,274.69,101.29,,0.147,0.0,20,7,normal
U00550,60.98,47,4,1,139.54,128.33,1.0,0.091,0.0,37,4,normal
U00175,80.6,38,8,0,0.0,119.22,2.0,0.033,0.0,6,4,normal
U00372,16.19,32,5,0,0.0,142.2,1.0,0.273,0.0,19,3,normal
U00528,38.38,44,5,1,135.79,138.17,1.0,0.054,0.0,7,2,normal
U00211,73.46,33,8,1,105.64,116.85,1.0,0.191,0.0,24,7,normal
U00236,32.9,43,5,1,85.18,77.07,2.0,0.149,,57,8,normal
U00102,55.71,38,9,0,0.0,146.57,1.0,0.168,0.0,44,7,normal
U00987,236.51,282,8,0,0.0,96.68,2.0,0.07,0.0,78,46,high_activity_anomaly
U00903,45.4,68,7,0,0.0,87.87,9.0,0.539,0.0,11,1,promotion_abuse_like
U00948,87.55,60,11,9,729.39,77.67,7.0,0.639,,18,14,promotion_abuse_like
U00347,106.43,34,4,3,438.93,167.63,0.0,0.193,0.0,48,5,normal
U00140,55.59,40,2,0,0.0,124.12,,0.212,0.0,39,5,normal
U00622,58.05,31,4,4,651.41,146.97,0.0,0.227,0.0,11,7,normal
U00500,46.79,37,4,3,290.66,109.0,1.0,0.07,0.0,13,7,normal
U00371,55.97,45,2,1,149.84,135.54,0.0,0.176,0.0,11,5,normal
U00199,34.1,37,3,2,345.62,180.54,0.0,0.191,0.0,15,4,normal
U00688,39.03,33,6,1,158.36,141.21,2.0,0.134,0.0,51,9,normal
U00585,75.55,48,3,3,530.27,150.58,2.0,0.2,0.0,34,4,normal
U00902,146.21,78,7,2,150.37,81.22,,0.66,0.0,43,12,promotion_abuse_like
U00060,33.1,41,1,0,0.0,163.97,3.0,0.159,0.0,13,6,normal
U00329,68.26,32,9,1,149.05,144.94,1.0,0.263,0.0,39,7,normal
U00097,47.63,28,4,2,264.64,119.75,1.0,0.263,0.0,7,6,normal
U00313,63.58,31,3,2,335.9,162.53,1.0,0.141,0.0,13,4,normal
U00975,129.46,246,11,1,167.25,163.16,0.0,0.032,0.0,5,41,high_activity_anomaly
U00300,53.3,36,3,0,0.0,169.47,,0.144,0.0,18,5,normal
U00278,40.85,35,3,2,236.67,124.05,1.0,0.124,0.0,48,9,normal
U00925,66.1,62,3,0,0.0,31.72,8.0,0.641,0.0,13,11,promotion_abuse_like
U00602,78.24,38,3,0,0.0,187.32,0.0,0.143,0.0,56,8,normal
U00440,38.03,28,2,2,174.2,81.5,0.0,0.159,0.0,42,7,normal
U00838,150.55,123,25,2,104.84,65.89,0.0,0.241,0.0,119,17,low_conversion
U00571,88.95,31,6,0,0.0,90.47,1.0,0.077,,16,7,normal
U00880,188.77,129,16,0,0.0,109.84,2.0,0.0,,101,13,low_conversion
U00262,47.25,39,6,2,418.99,177.47,2.0,0.032,0.0,42,4,normal
U00579,61.53,49,1,1,40.67,43.55,1.0,0.115,0.0,8,8,normal
U00024,53.36,40,3,3,466.31,153.96,0.0,0.17,0.0,29,2,normal
U00031,51.59,30,6,1,130.37,124.0,0.0,0.209,,2,8,normal
U00618,12.1,31,4,2,200.18,106.49,2.0,0.214,0.0,34,5,normal
U00011,45.49,41,3,1,107.21,108.29,0.0,0.162,0.0,36,10,normal
U00222,70.59,35,4,2,266.54,128.69,1.0,0.242,0.0,45,8,normal
U00821,128.12,115,18,0,0.0,124.74,1.0,0.168,0.0,82,13,low_conversion
U00297,59.53,30,5,3,564.02,194.89,0.0,0.153,,41,7,normal
U00055,41.0,33,3,2,257.17,129.87,1.0,0.282,0.0,14,6,normal
U00543,75.98,56,2,0,0.0,144.39,1.0,0.048,0.0,46,4,normal
U00210,43.91,33,8,2,196.19,117.6,1.0,0.323,0.0,7,7,normal
U00605,60.03,32,0,0,0.0,170.98,0.0,0.313,0.0,10,7,normal
U00693,65.6,48,4,1,118.44,134.18,1.0,0.135,0.0,8,5,normal
U00663,69.2,31,2,1,83.48,85.46,1.0,0.294,0.0,34,5,normal
U00867,191.8,110,19,0,0.0,95.16,3.0,0.192,,90,9,low_conversion
U00071,58.79,37,6,1,68.91,67.59,,0.098,0.0,17,7,normal
U00544,36.34,39,0,1,121.37,114.98,0.0,0.043,0.0,57,6,normal
U00108,58.06,42,3,1,65.77,68.33,0.0,0.078,0.0,39,4,normal
U00494,45.29,38,2,2,296.25,136.08,0.0,0.183,0.0,25,10,normal
U00591,41.5,38,5,0,0.0,130.27,3.0,0.217,0.0,52,7,normal
U00742,101.57,75,11,0,0.0,221.81,2.0,0.171,0.0,7,6,high_value
U00293,94.85,35,1,0,0.0,177.09,0.0,0.103,0.0,7,3,normal
U00290,60.47,36,4,3,251.62,82.02,3.0,0.176,0.0,7,3,normal
U00653,83.28,36,6,0,0.0,122.78,0.0,0.234,0.0,30,4,normal
U00040,44.61,29,5,0,0.0,83.73,1.0,0.2,0.0,10,3,normal
U00590,101.31,38,5,0,0.0,101.58,0.0,0.263,0.0,28,7,normal
U00308,83.62,40,4,0,0.0,117.7,1.0,0.14,0.0,29,4,normal
U00680,26.04,31,3,3,290.42,100.17,3.0,0.202,,53,7,normal
U00067,85.71,27,1,1,151.35,152.13,0.0,0.064,0.0,26,7,normal
U00276,55.56,25,3,2,289.19,139.44,0.0,0.195,0.0,59,5,normal
U00068,75.15,32,5,1,151.8,154.83,2.0,0.226,0.0,44,4,normal
U00319,28.51,31,7,1,110.84,112.52,2.0,0.396,,15,6,normal
U00549,33.72,45,1,1,96.17,112.34,2.0,0.129,,26,5,normal
U00999,231.33,277,14,0,0.0,167.51,2.0,0.312,0.0,81,35,high_activity_anomaly
U00715,121.8,60,8,0,0.0,228.27,3.0,0.182,0.0,20,10,high_value
U00754,72.78,76,8,8,2040.94,229.31,,0.094,,14,6,high_value
U00328,57.05,23,9,4,244.43,59.57,,0.088,0.0,27,6,normal
U00383,63.42,50,2,0,0.0,99.89,,0.21,0.0,40,6,normal
U00452,67.19,36,2,0,0.0,123.67,1.0,0.267,0.0,55,12,normal
U00523,59.99,33,4,0,0.0,158.92,1.0,0.139,0.0,38,6,normal
U00219,33.54,29,6,3,577.9,191.42,1.0,0.169,0.0,56,8,normal
U00788,62.82,127,16,0,0.0,169.71,2.0,0.343,0.0,80,14,low_conversion
U00437,62.1,37,2,0,0.0,74.88,1.0,0.219,,42,7,normal
U00765,63.13,63,11,0,0.0,150.73,2.0,0.076,0.0,4,17,high_value
U00089,49.14,39,3,3,337.82,114.21,0.0,0.158,0.0,29,5,normal
U00064,46.88,33,2,2,80.49,36.49,1.0,0.176,0.0,54,7,normal
U00827,88.16,114,14,1,104.56,104.98,1.0,0.253,0.0,31,12,low_conversion
U00717,111.5,57,10,8,1835.31,289.13,3.0,0.183,0.0,9,5,high_value
U00352,44.15,34,4,3,274.73,95.93,1.0,0.154,0.0,22,4,normal
U00937,95.93,78,12,0,0.0,61.1,,0.46,0.0,18,3,promotion_abuse_like
U00257,50.75,23,3,2,276.71,149.5,1.0,0.29,0.0,42,2,normal
U00636,18.01,49,1,1,81.54,87.98,2.0,0.282,0.0,32,6,normal
U00645,66.19,31,3,0,0.0,128.13,1.0,0.204,0.0,42,10,normal
U00555,40.87,35,1,1,174.49,198.33,0.0,0.189,0.0,29,5,normal
U00960,225.15,260,8,2,180.79,89.33,0.0,0.271,0.0,3,36,high_activity_anomaly
U00169,22.09,35,5,2,302.2,140.97,3.0,0.303,0.0,6,4,normal
U00918,88.25,81,12,4,443.15,103.1,7.0,0.563,0.0,22,7,promotion_abuse_like
U00529,36.21,27,4,0,0.0,70.53,2.0,0.095,,58,4,normal
U00824,106.62,148,18,1,190.86,179.66,0.0,0.019,0.0,117,11,low_conversion
U00986,337.15,251,14,2,192.51,100.63,2.0,0.412,0.0,5,43,high_activity_anomaly
U00817,73.18,114,17,0,0.0,111.89,0.0,0.246,0.0,90,14,low_conversion
U00087,49.59,28,4,0,0.0,77.0,0.0,0.039,0.0,33,6,normal
U00433,77.66,41,3,0,0.0,120.02,1.0,0.244,0.0,28,5,normal
U00185,40.9,26,2,2,384.46,191.82,,0.08,0.0,31,6,normal
U00979,126.78,264,12,3,526.13,207.57,0.0,0.222,0.0,8,45,high_activity_anomaly
U00535,40.49,36,6,2,303.08,152.44,1.0,0.191,0.0,5,3,normal
U00295,43.01,27,2,0,0.0,71.63,1.0,0.163,0.0,33,6,normal
U00893,128.15,66,6,5,470.55,92.77,,0.799,0.0,11,8,promotion_abuse_like
U00426,48.2,34,3,2,166.14,91.32,,0.115,0.0,41,4,normal
U00714,106.57,61,10,10,2414.64,203.4,1.0,0.14,0.0,12,14,high_value
U00261,53.4,38,4,1,128.48,129.68,0.0,0.088,0.0,41,7,normal
U00238,48.17,27,2,0,0.0,160.42,0.0,0.364,0.0,47,5,normal
U00560,65.95,28,2,0,0.0,116.63,2.0,0.262,0.0,48,3,normal
U00584,63.04,40,6,2,197.15,109.55,0.0,0.254,0.0,56,9,normal
U00446,39.76,35,3,1,189.53,182.17,0.0,0.234,0.0,50,3,normal
U00868,122.38,135,19,1,90.79,84.54,1.0,0.231,0.0,108,10,low_conversion
U00801,148.68,136,16,0,0.0,135.06,1.0,0.059,0.0,22,14,low_conversion
