user_id,browsing_time,pages_viewed,cart_additions,purchase_count,total_spending,average_order_value,discount_usage_count,discount_ratio,return_count,days_since_last_purchase,session_count,user_type,discount_missing,return_missing,conversion_rate,cart_to_purchase_rate,spending_per_session,discount_dependency,return_rate,pca_1,pca_2,cluster,is_anomaly,anomaly_score,is_anomaly_without_missingness,anomaly_score_without_missingness,anomaly_category,anomaly_type,anomaly_evidence,suggested_action
U00522,94.35,36,5,1,107.5,104.61,0.0,0.223,0.0,15,4,normal,0,0,0.027777777777777776,0.2,26.875,0.0,0.0,-0.38611596157485684,-1.0229493220380939,1,0,-0.15966,0,-0.1582,normal_or_not_flagged,not_flagged,User was not flagged as anomalous.,No anomaly-specific action suggested by this prototype.
U00738,128.12,71,14,14,2824.23,183.38,,0.147,0.0,21,9,high_value,1,0,0.19718309859154928,1.0,313.80333333333334,0.0,0.0,7.365897386766998,3.9062681392310625,3,1,0.07156,1,0.05109,high_value_anomaly,high_value_anomaly,high total_spending; high purchase_count; low return_rate,"Review for retention, VIP analysis, and personalized recommendation opportunities."
U00741,87.87,53,9,9,764.64,116.41,0.0,0.191,0.0,4,9,high_value,0,0,0.16981132075471697,1.0,84.96,0.0,0.0,3.7145320845508984,0.9411518485506474,0,0,-0.06511,0,-0.04837,normal_or_not_flagged,not_flagged,User was not flagged as anomalous.,No anomaly-specific action suggested by this prototype.
U00661,48.02,45,6,3,531.55,154.19,0.0,0.01,0.0,36,3,normal,0,0,0.06666666666666667,0.5,177.1833333333333,0.0,0.0,1.8971574481857663,-0.5970455361404367,0,0,-0.11548,0,-0.09202,normal_or_not_flagged,not_flagged,User was not flagged as anomalous.,No anomaly-specific action suggested by this prototype.
U00412,58.87,35,3,2,264.75,127.0,0.0,0.284,0.0,2,10,normal,0,0,0.05714285714285714,0.6666666666666666,26.475,0.0,0.0,0.7913483044551247,-0.9032509978211879,0,0,-0.14299,0,-0.14033,normal_or_not_flagged,not_flagged,User was not flagged as anomalous.,No anomaly-specific action suggested by this prototype.
U00679,43.95,37,4,4,603.03,146.02,1.0,0.224,0.0,23,7,normal,0,0,0.10810810810810811,1.0,86.14714285714285,0.25,0.0,2.452655452276683,-0.36862337306395876,0,0,-0.13724,0,-0.13271,normal_or_not_flagged,not_flagged,User was not flagged as anomalous.,No anomaly-specific action suggested by this prototype.
U00627,54.4,36,3,2,262.01,126.28,1.0,0.033,,34,9,normal,0,1,0.05555555555555555,0.6666666666666666,29.112222222222222,0.5,0.0,0.6780980095286716,-1.1160617897857408,0,0,-0.10779,0,-0.15495,normal_or_not_flagged,not_flagged,User was not flagged as anomalous.,No anomaly-specific action suggested by this prototype.
U00514,56.67,40,5,3,522.16,174.8,2.0,0.049,0.0,43,4,normal,0,0,0.075,0.6,130.54,0.6666666666666666,0.0,1.7974583307103769,-0.358722355464275,0,0,-0.13494,0,-0.12398,normal_or_not_flagged,not_flagged,User was not flagged as anomalous.,No anomaly-specific action suggested by this prototype.
U00860,115.33,127,19,0,0.0,76.08,0.0,0.321,0.0,73,12,low_conversion,0,0,0.0,0.0,0.0,0.0,0.0,-2.6474668366595733,1.6420310348755507,2,0,-0.10657,0,-0.09731,normal_or_not_flagged,not_flagged,User was not flagged as anomalous.,No anomaly-specific action suggested by this prototype.
U00137,28.05,43,6,4,334.54,81.57,1.0,0.242,0.0,16,11,normal,0,0,0.09302325581395349,0.6666666666666666,30.412727272727274,0.25,0.0,1.1732553797908594,-0.45552529037707173,0,0,-0.12853,0,-0.1259,normal_or_not_flagged,not_flagged,User was not flagged as anomalous.,No anomaly-specific action suggested by this prototype.
U00812,185.75,125,14,0,0.0,71.36,1.0,0.205,0.0,28,14,low_conversion,0,0,0.0,0.0,0.0,1.0,0.0,-2.4668781292483573,1.5684334064780447,2,0,-0.1267,0,-0.11844,normal_or_not_flagged,not_flagged,User was not flagged as anomalous.,No anomaly-specific action suggested by this prototype.
U00077,37.3,36,2,1,85.33,106.4,0.0,0.144,0.0,5,6,normal,0,0,0.027777777777777776,0.5,14.221666666666666,0.0,0.0,0.08673057759553475,-1.7867313453867084,1,0,-0.16122,0,-0.16264,normal_or_not_flagged,not_flagged,User was not flagged as anomalous.,No anomaly-specific action suggested by this prototype.
U00637,51.61,43,7,2,287.42,142.94,0.0,0.245,0.0,32,6,normal,0,0,0.046511627906976744,0.2857142857142857,47.903333333333336,0.0,0.0,0.31762880965687884,-0.5787334551116172,1,0,-0.16146,0,-0.15694,normal_or_not_flagged,not_flagged,User was not flagged as anomalous.,No anomaly-specific action suggested by this prototype.
U00974,213.98,264,11,0,0.0,135.48,,0.062,1.0,73,31,high_activity_anomaly,1,0,0.0,0.0,0.0,0.0,1.0,-3.4303993867483364,5.278200588733756,4,1,0.11014,1,0.09352,high_activity_anomaly,mixed_anomaly,"low_conversion_anomaly: high pages_viewed, high cart_additions, low purchase_count, low conversion_rate; high_activity_anomaly: very high session_count, very high pages_viewed",Prioritize for analyst review and inspect user-level behavior history in more detail.
U00939,80.02,73,9,4,480.4,104.61,7.0,0.707,0.0,15,9,promotion_abuse_like,0,0,0.0547945205479452,0.4444444444444444,53.37777777777777,1.75,0.0,0.45977036658821735,1.5901124025875741,0,0,-0.07221,0,-0.05092,normal_or_not_flagged,not_flagged,User was not flagged as anomalous.,No anomaly-specific action suggested by this prototype.
U00900,36.12,62,9,4,430.71,103.54,,0.675,4.0,44,6,promotion_abuse_like,1,0,0.06451612903225806,0.4444444444444444,71.785,0.0,1.0,0.6219945895478727,3.313482688315862,4,1,0.10043,1,0.08707,other_behavioral_anomaly,promotion_abuse_like_anomaly,high discount_ratio; high return_rate,Send to manual review or a downstream risk-scoring process; do not directly label as fraud.
U00281,41.19,31,3,3,571.53,173.25,1.0,0.241,0.0,46,2,normal,0,0,0.0967741935483871,1.0,285.765,0.3333333333333333,0.0,3.267192829323015,-0.2928658858838692,0,0,-0.08265,0,-0.06373,normal_or_not_flagged,not_flagged,User was not flagged as anomalous.,No anomaly-specific action suggested by this prototype.
